type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Abronia leurolepis,CAMPBELL & FROST 1993,,"S: Escorpión Arboricola de Escamas Planas
E: Flat-scaled Arboreal Alligator Lizard, Smoothback arboreal alligator lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10022,
,Abronia lythrochila,SMITH & ALVAREZ DEL TORO 1963,,"E: Red-lipped Arboreal Alligator Lizard
S: Escorpión Arboricola de Labios Rojos","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10023,
,Abronia martindelcampoi,FLORES-VILLELA & SÁNCHEZ-H. 2003,,"S: Escorpión Arboricola de Martin del Campo
E: Martín del Campo’s Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10024,
,Abronia matudai,(HARTWEG & TIHEN 1946),,"S: Escorpión Arboricola de Matuda
E: Matuda's Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10025,
,Abronia meledona,CAMPBELL & BRODIE 1999,,,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10026,
,Abronia mitchelli,CAMPBELL 1982,,"E: Mitchell's Arboreal Alligator Lizard
S: Escorpión Arboricola de Mitchell","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10027,
,Abronia mixteca,BOGERT & PORTER 1967,,"S: Escorpión Arboricola Mixteco
E: Mixtecan Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10028,
,Abronia montecristoi,HIDALGO 1983,,E: MonteCristo Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10029,
,Abronia monticola,(COPE 1878),,,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",16322,
,Abronia moreletii,(BOCOURT 1872),"Abronia moreletii moreletii (BOCOURT 1872)
Abronia moreletii rafaeli (HARTWEG & TIHEN 1946)
Abronia moreletii salvadorensis (SCHMIDT 1928)
Abronia moreletii temporalis (HARTWEG & TIHEN 1946)","E: Morelet's Alligator Lizard
S: Escorpión de Morelet","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",16323,
,Abronia morenica,"CLAUSE, LUNA-REYES & NIETO-MONTES DE OCA 2020",,"E: Sierra Morena Arboreal Alligator Lizards
S: Dragoncitos de Sierra Morena","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",23270,
